sku,location,quantity,item_name,alert_title,source,risk_level,match_type,confidence,matched_fields,action,human_next_step,alert_url
ADP-001,Stockroom,3,Universal Travel Adaptor,Product Recall: Azara Travel Adaptor (2601-0270),OPSS/GOV.UK product safety alerts,Serious,exact_barcode,99,barcode,The local authority is requiring the recall of the product from end users. Consumers who own the product are advised to stop using it immediately and contact the distributor they purchased from for redress.,"Open the alert URL and verify identifiers, batch, and quantity before taking stock action.",https://www.gov.uk/product-safety-alerts-reports-recalls/product-recall-azara-travel-adaptor-2601-0270
MED-001,Treatment Room,60,ChloraPrep 1mL applicators,"Class 2 Medicines Recall: Becton Dickinson UK Ltd, ChloraPrep 2% 1mL and ChloraPrep Frepp 2% 1.5mL applicators, EL(26)A/26",MHRA/GOV.UK drug and device alerts,"Becton Dickinson UK Ltd, ChloraPrep 2% 1mL and ChloraPrep Frepp 2% 1.5mL applicators, EL(26)A/26",exact_gtin,99,gtin,Stop supplying the affected batches. Quarantine all remaining stock and return it to your supplier using your supplier’s approved process.,"Open the alert URL and verify identifiers, batch, and quantity before taking stock action.",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-becton-dickinson-uk-ltd-chloraprep-2-percent-1ml-and-chloraprep-frepp-2-percent-1-dot-5ml-applicators-el-26-a-slash-26
